ROAD,TOWN,POSTCODE,USE,X,Y
WINDYHILL ROAD,ARTIKELLY,BT51 4JL,RESIDENTIAL,278068,429572
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278220,431136
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278256,431101
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278301,430531
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278323,430162
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278343,430814
DUNHILL ROAD,COLERAINE,BT51 4JA,RESIDENTIAL,278427,426987
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278427,430168
DUNHILL ROAD,COLERAINE,BT51 4JA,RESIDENTIAL,278473,427525
DUNHILL ROAD,COLERAINE,BT51 4JA,RESIDENTIAL,278487,427519
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,RESIDENTIAL,278495,430203
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278529,430948
DUNHILL ROAD,COLERAINE,BT51 4JA,RESIDENTIAL,278589,427244
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278590,427474
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278642,427503
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278658,427491
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278671,427476
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278680,427464
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278690,427454
SPRINGWELL CRESCENT,COLERAINE,BT51 4JQ,RESIDENTIAL,278701,427444
WINDYHILL ROAD,ARTIKELLY,BT51 4LW,RESIDENTIAL,278779,430905
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,RESIDENTIAL,278820,430181
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,RESIDENTIAL,278852,430061
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,COMMERCIAL,278887,430233
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,RESIDENTIAL,278950,430257
ISLE ROAD,COLERAINE,BT51 4JH,RESIDENTIAL,278972,428526
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,RESIDENTIAL,278983,430199
BALLINREES LANE,COLERAINE,BT51 4JW,RESIDENTIAL,279026,429968
BALLINREES LANE,COLERAINE,BT51 4JW,RESIDENTIAL,279066,429990
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279197,431111
ISLE ROAD,COLERAINE,BT51 4JH,RESIDENTIAL,279241,427949
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279270,431155
ISLE ROAD,COLERAINE,BT51 4JH,RESIDENTIAL,279283,428153
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279300,431104
ISLE ROAD,COLERAINE,BT51 4JH,RESIDENTIAL,279306,427764
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279357,431010
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279402,430962
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279458,430915
WINDYHILL ROAD,ARTIKELLY,BT51 4JN,RESIDENTIAL,279464,430598
WINDYHILL ROAD,ARTIKELLY,BT51 4LW,RESIDENTIAL,279471,430602
BALLINREES LANE,COLERAINE,BT51 4JW,RESIDENTIAL,279501,429493
ISLE ROAD,COLERAINE,BT51 4JH,RESIDENTIAL,279523,427536
WINDYHILL ROAD,ARTIKELLY,BT51 4LW,RESIDENTIAL,279528,430595
WINDYHILL ROAD,ARTIKELLY,BT51 4LW,RESIDENTIAL,279536,430600
WINDYHILL ROAD,ARTIKELLY,BT51 4LW,RESIDENTIAL,279679,430565
SHINNY ROAD,COLERAINE,BT51 4PT,RESIDENTIAL,279687,425470
SHINNY ROAD,COLERAINE,BT51 4PT,RESIDENTIAL,279723,425558
BALTEAGH LANE,COLERAINE,BT51 4JG,RESIDENTIAL,279772,427946
WINDYHILL ROAD,ARTIKELLY,BTXX XXX,UNKNOWN,279803,430718
SHINNY ROAD,COLERAINE,BT51 4PT,RESIDENTIAL,279880,425527
SHINNY ROAD,COLERAINE,BT51 4PT,RESIDENTIAL,279954,425037
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,279959,427581
WINDYHILL ROAD,ARTIKELLY,BTXX XXX,UNKNOWN,279961,430126
SHINNY ROAD,COLERAINE,BT51 4PS,COMMERCIAL,279981,424971
BALTEAGH LANE,COLERAINE,BT51 4JG,RESIDENTIAL,280002,427883
WINDYHILL ROAD,ARTIKELLY,BT51 4LP,RESIDENTIAL,280015,430921
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280078,425161
BALTEAGH LANE,COLERAINE,BT51 4JG,RESIDENTIAL,280093,427688
BALLYSTRONE ROAD,COLERAINE,BT51 4LS,RESIDENTIAL,280124,430664
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280144,425207
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280174,427710
WINDYHILL ROAD,ARTIKELLY,BT51 4LP,RESIDENTIAL,280176,430869
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280309,424863
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280325,430135
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280327,430128
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280341,430253
BALLYSTRONE ROAD,COLERAINE,BT51 4LS,RESIDENTIAL,280353,430354
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280377,425297
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280433,429410
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280442,429596
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,UNKNOWN,280442,429603
WINDYHILL ROAD,ARTIKELLY,BT51 4LP,RESIDENTIAL,280469,431156
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280491,429157
WINDYHILL ROAD,ARTIKELLY,BT51 4LP,RESIDENTIAL,280491,431183
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280504,429487
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280530,427743
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280598,428944
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280612,427820
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280616,427822
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280618,427779
RINGRASH ROAD,COLERAINE,BT51 4LL,RESIDENTIAL,280671,431173
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280673,428169
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280697,427719
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280724,428807
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,UNKNOWN,280726,428757
BALLYSTRONE ROAD,COLERAINE,BT51 4JF,RESIDENTIAL,280747,428696
LETTERLOAN ROAD,COLERAINE,BT51 4PP,COMMERCIAL,280763,425866
RINGRASH ROAD,COLERAINE,BT51 4LL,RESIDENTIAL,280764,431084
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280765,425899
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280765,425936
RINGRASH ROAD,COLERAINE,BT51 4LL,RESIDENTIAL,280773,430978
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280778,427832
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280783,427767
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280802,426041
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280833,427825
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280837,427761
RINGRASH ROAD,COLERAINE,BT51 4LL,RESIDENTIAL,280850,430783
RINGRASH ROAD,COLERAINE,BT51 4LJ,RESIDENTIAL,280858,429936
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280861,427436
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280879,427822
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280884,427788
RINGRASH ROAD,COLERAINE,BT51 4LL,RESIDENTIAL,280909,430733
RINGRASH ROAD,COLERAINE,BT51 4LL,RESIDENTIAL,280944,430794
KILTINNY PARK,COLERAINE,BT51 4JE,RESIDENTIAL,280962,427627
RINGRASH ROAD,COLERAINE,BT51 4LJ,RESIDENTIAL,281022,430680
CAM ROAD,COLERAINE,BT51 4PX,RESIDENTIAL,278230,424260
CAM ROAD,COLERAINE,BT51 4PX,RESIDENTIAL,278486,424275
CAM ROAD,COLERAINE,BT51 4PX,UNKNOWN,278734,424301
CAM ROAD,COLERAINE,BT51 4PX,RESIDENTIAL,278908,424301
CAM LANE,COLERAINE,BT51 4PU,RESIDENTIAL,279319,424053
CAM LANE,COLERAINE,BT51 4PU,RESIDENTIAL,280148,424028
CAM ROAD,COLERAINE,BT51 4PU,UNKNOWN,280279,424038
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280310,424098
CASHEL ROAD,COLERAINE,BT51 4PR,RESIDENTIAL,280696,424366
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277460,435539
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277486,435533
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277624,435562
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277602,435532
LIFFOCK PARK,CASTLEROCK,BT51 4DG,RESIDENTIAL,277610,435545
STABLE LANE,CASTLEROCK,BT51 4HD,RESIDENTIAL,277312,436010
STABLE LANE,CASTLEROCK,BT51 4HD,UNKNOWN,277312,436010
STABLE LANE,CASTLEROCK,BT51 4HD,RESIDENTIAL,277312,436010
DUNHILL ROAD,COLERAINE,BT51 4JG,RESIDENTIAL,280164,427671
DUNHILL ROAD,COLERAINE,BT51 4JD,COMMERCIAL,280096,427616
DUNHILL ROAD,COLERAINE,BT51 4JD,RESIDENTIAL,280453,427736
BALTEAGH LANE,COLERAINE,BT51 4JG,RESIDENTIAL,280007,427831
ISLE ROAD,COLERAINE,BT51 4JH,RESIDENTIAL,279265,427986
WINDYHILL ROAD,ARTIKELLY,BT51 4JL,RESIDENTIAL,277592,429627
DUNBOE ROAD,COLERAINE,BT51 4JR,RESIDENTIAL,277306,433017
DUNBOE ROAD,COLERAINE,BT51 4JR,UNKNOWN,277306,433017
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278272,430916
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278272,430916
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278272,430916
DUNBOE ROAD,COLERAINE,BT51 4JS,RESIDENTIAL,278272,430916
SCONCE ROAD,ARTICLAVE,BT51 4JT,RESIDENTIAL,278356,433715
BALLINREES LANE,COLERAINE,BT51 4JW,RESIDENTIAL,279337,429689
BALLINREES LANE,COLERAINE,BT51 4JW,RESIDENTIAL,279337,429689
GORTYCAVAN ROAD,COLERAINE,BT51 4JY,RESIDENTIAL,278507,432282
GORTYCAVAN ROAD,COLERAINE,BT51 4JY,RESIDENTIAL,278507,432282
KNOCKNOUGHER ROAD,COLERAINE,BT51 4JZ,RESIDENTIAL,276325,431497
KNOCKNOUGHER ROAD,COLERAINE,BT51 4JZ,RESIDENTIAL,276679,431768
KNOCKNOUGHER ROAD,COLERAINE,BT51 4LA,RESIDENTIAL,275429,431117
KNOCKNOUGHER ROAD,COLERAINE,BT51 4LA,UNKNOWN,275429,431117
KNOCKNOUGHER ROAD,COLERAINE,BT51 4LA,UNKNOWN,275429,431117
BRATWELL ROAD,COLERAINE,BT51 4LB,RESIDENTIAL,276438,430889
BRATWELL ROAD,COLERAINE,BT51 4LB,RESIDENTIAL,276438,430889
BRATWELL ROAD,COLERAINE,BT51 4LB,UNKNOWN,276438,430889
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277425,435885
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277404,435886
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277430,435881
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277412,435871
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277440,435873
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277417,435866
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277444,435867
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277427,435853
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277438,435850
SEACOURT MEWS,CASTLEROCK,BT51 4LG,RESIDENTIAL,277443,435848
WINDYHILL ROAD,ARTIKELLY,BT51 4LP,RESIDENTIAL,280356,431078
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279331,431043
GORTYCAVAN ROAD,COLERAINE,BT51 4LT,RESIDENTIAL,279331,431043
GREEN ROAD,COLERAINE,BT51 4LX,RESIDENTIAL,280477,432723
GREEN ROAD,COLERAINE,BT51 4LX,RESIDENTIAL,280477,432723
MUSSENDEN VIEW,ARTICLAVE,BT51 4NZ,RESIDENTIAL,278294,434075
MUSSENDEN VIEW,ARTICLAVE,BT51 4NZ,RESIDENTIAL,278309,434110
MUSSENDEN VIEW,ARTICLAVE,BT51 4NZ,RESIDENTIAL,278308,434096
MUSSENDEN VIEW,ARTICLAVE,BT51 4NZ,RESIDENTIAL,278305,434061
MUSSENDEN VIEW,ARTICLAVE,BT51 4NZ,RESIDENTIAL,278312,434061
MUSSENDEN VIEW,ARTICLAVE,BT51 4NZ,RESIDENTIAL,278330,434072
LETTERLOAN ROAD,COLERAINE,BT51 4PP,RESIDENTIAL,280246,425231
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280356,424483
SHINNY ROAD,COLERAINE,BT51 4PS,RESIDENTIAL,280216,424517
CAM LANE,COLERAINE,BT51 4PU,UNKNOWN,280175,424038
CAM LANE,COLERAINE,BT51 4PU,RESIDENTIAL,279319,424053
CAM ROAD,COLERAINE,BT51 4PX,RESIDENTIAL,279355,424425
ISLAY COURT,CASTLEROCK,BT51 4PZ,UNKNOWN,277655,435960
ISLAY COURT,CASTLEROCK,BT51 4PZ,RESIDENTIAL,277677,435906
ISLAY COURT,CASTLEROCK,BT51 4PZ,RESIDENTIAL,277712,435885
INNIS COURT,CASTLEROCK,BT51 4QA,RESIDENTIAL,277471,436151
SOLITUDE PARK,CASTLEROCK,BT51 4RG,UNKNOWN,276725,436172
SOLITUDE PARK,CASTLEROCK,BT51 4RG,RESIDENTIAL,276725,436172
TUNNEL BRAE,CASTLEROCK,BT51 4RH,UNKNOWN,276731,436275
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,277009,435625
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,276944,435638
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,277009,435625
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,277009,435625
FREEHALL ROAD,CASTLEROCK,BT51 4RL,RESIDENTIAL,277009,435625
MUSSENDEN ROAD,CASTLEROCK,BT51 4RP,RESIDENTIAL,275142,436064
MUSSENDEN ROAD,CASTLEROCK,BT51 4RP,RESIDENTIAL,275136,436067
MUSSENDEN ROAD,CASTLEROCK,BT51 4RP,RESIDENTIAL,275130,436070
MUSSENDEN ROAD,CASTLEROCK,BT51 4RP,RESIDENTIAL,275123,436071
BALLYMADIGAN ROAD,CASTLEROCK,BT51 4RR,RESIDENTIAL,276512,434961
BALLYMADIGAN ROAD,CASTLEROCK,BT51 4RR,UNKNOWN,276512,434961
MUSSENDEN ROAD,CASTLEROCK,BT51 4RW,RESIDENTIAL,276819,434966
BALLYWOODOCK ROAD,CASTLEROCK,BT51 4RX,UNKNOWN,275596,434728
BURRENMORE ROAD,CASTLEROCK,BT51 4SA,RESIDENTIAL,275301,435163
BURRENMORE ROAD,CASTLEROCK,BT51 4SA,RESIDENTIAL,275301,435163
BURRENMORE ROAD,CASTLEROCK,BT51 4SG,RESIDENTIAL,274447,434239
ALTIKEERAGH ROAD,COLERAINE,BT51 4SH,RESIDENTIAL,275413,434016
ALTIKEERAGH ROAD,COLERAINE,BT51 4SH,RESIDENTIAL,275468,433884
BALLYWOODOCK ROAD,CASTLEROCK,BT51 4SL,RESIDENTIAL,276774,434261
BALLYHACKETT ROAD,CASTLEROCK,BT51 4SQ,RESIDENTIAL,274883,434001
BALLYHACKETT ROAD,CASTLEROCK,BT51 4SQ,RESIDENTIAL,274883,434001
ALTIKEERAGH ROAD,COLERAINE,BT51 4SR,RESIDENTIAL,275500,433259
ALTIKEERAGH ROAD,COLERAINE,BT51 4SR,RESIDENTIAL,275434,433027
ALTIKEERAGH LANE,CASTLEROCK,BT51 4SS,UNKNOWN,275689,432155
ALTIKEERAGH LANE,CASTLEROCK,BT51 4SS,RESIDENTIAL,275664,432170
ALTIKEERAGH LANE,CASTLEROCK,BT51 4SS,RESIDENTIAL,275664,432170
ALTIKEERAGH ROAD,COLERAINE,BT51 4ST,RESIDENTIAL,275386,432191
BALLYHACKETT LANE,CASTLEROCK,BT51 4SU,RESIDENTIAL,275056,433066
GLEBE ROAD,CASTLEROCK,BT51 4SW,RESIDENTIAL,276263,433251
GLEBE ROAD,CASTLEROCK,BT51 4SW,RESIDENTIAL,276634,432640
GLEBE ROAD,CASTLEROCK,BT51 4SW,RESIDENTIAL,276522,432875
GLEBE ROAD,CASTLEROCK,BT51 4SW,RESIDENTIAL,276521,432719
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277392,435566
LIFFOCK CRESCENT,CASTLEROCK,BT51 4TG,RESIDENTIAL,277444,435623
SEA ROAD,CASTLEROCK,BT51 4TL,COMMERCIAL,277363,436008
SEA ROAD,CASTLEROCK,BT51 4TL,RESIDENTIAL,277405,436018
SEA ROAD,CASTLEROCK,BT51 4TL,RESIDENTIAL,277405,436018
SEA ROAD,CASTLEROCK,BT51 4TL,RESIDENTIAL,277401,436032
SEA ROAD,CASTLEROCK,BT51 4TN,COMMERCIAL,277353,435916
SEA ROAD,CASTLEROCK,BT51 4TN,RESIDENTIAL,277369,435904
SEA ROAD,CASTLEROCK,BT51 4TW,UNKNOWN,277300,435657
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277373,435832
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277295,435573
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277292,435544
SEA ROAD,CASTLEROCK,BT51 4TW,RESIDENTIAL,277373,435832
MUSSENDEN ROAD,ARTICLAVE,BT51 4TX,COMMERCIAL,277735,434539
MUSSENDEN ROAD,ARTICLAVE,BT51 4TY,RESIDENTIAL,277918,434288
EXORNA LANE,ARTICLAVE,BT51 4UA,RESIDENTIAL,277804,434659
ARDINA ROAD,ARTICLAVE,BT51 4UF,COMMERCIAL,278497,434010
ST. PAULS ROAD,ARTICLAVE,BT51 4UN,UNKNOWN,278262,433914
ST. PAULS ROAD,ARTICLAVE,BT51 4UP,RESIDENTIAL,278457,433802
ST. PAULS ROAD,ARTICLAVE,BT51 4UP,COMMERCIAL,278457,433802
ST. PAULS ROAD,ARTICLAVE,BT51 4UP,RESIDENTIAL,278457,433802
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,RESIDENTIAL,277973,434068
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,RESIDENTIAL,278097,434082
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,RESIDENTIAL,278097,434082
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,RESIDENTIAL,278057,434092
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,UNKNOWN,278031,434062
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,RESIDENTIAL,278073,434107
MUSSENDEN GRANGE,ARTICLAVE,BT51 4US,RESIDENTIAL,277958,434070
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277035,435731
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277031,435725
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277031,435712
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277035,435708
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276991,435721
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276993,435728
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276994,435734
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276997,435741
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276998,435748
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277004,435766
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276998,435769
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276992,435773
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276987,435777
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276981,435780
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276975,435784
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277021,435778
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276973,435797
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276977,435802
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276981,435808
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276987,435814
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276994,435811
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,276999,435807
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277005,435804
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277011,435799
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277021,435783
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277025,435788
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277029,435794
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277031,435799
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277050,435832
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277054,435828
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277060,435824
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277065,435820
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277072,435813
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277068,435807
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277065,435801
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277060,435795
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277049,435779
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277054,435775
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277060,435768
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277057,435762
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277053,435757
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277049,435751
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277044,435743
FREEHALL PARK,CASTLEROCK,BT51 4UT,RESIDENTIAL,277039,435736
EXORNA PARK,ARTICLAVE,BT51 4UX,RESIDENTIAL,277878,434193
EXORNA PARK,ARTICLAVE,BT51 4UX,RESIDENTIAL,277792,434132
EXORNA PARK,ARTICLAVE,BT51 4UX,RESIDENTIAL,277878,434193
MUSSENDEN GARDENS,ARTICLAVE,BT51 4UZ,RESIDENTIAL,278264,434173
MUSSENDEN GARDENS,ARTICLAVE,BT51 4UZ,RESIDENTIAL,278252,434180
MUSSENDEN GARDENS,ARTICLAVE,BT51 4UZ,RESIDENTIAL,278258,434177
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277600,435879
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277600,435879
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277600,435879
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277600,435879
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,COMMERCIAL,277600,435879
CIRCULAR ROAD,CASTLEROCK,BT51 4XA,RESIDENTIAL,277726,435931
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,UNKNOWN,277082,435598
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277041,435598
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277112,435572
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277087,435561
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277069,435566
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277061,435503
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277107,435495
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277026,435527
BELVEDERE AVENUE,CASTLEROCK,BT51 4XD,RESIDENTIAL,277077,435534
BALLYWOOLEN ROAD,CASTLEROCK,BT51 4XF,RESIDENTIAL,278370,434938
BARMOUTH ROAD,CASTLEROCK,BT51 4XG,UNKNOWN,278946,435366
DUNBOE GARDENS,ARTICLAVE,BT51 4XN,RESIDENTIAL,278206,433826
DUNBOE GARDENS,ARTICLAVE,BT51 4XN,RESIDENTIAL,278210,433822
DUNBOE GARDENS,ARTICLAVE,BT51 4XN,RESIDENTIAL,278239,433792
DUNBOE GARDENS,ARTICLAVE,BT51 4XN,RESIDENTIAL,278239,433751
DUNBOE GARDENS,ARTICLAVE,BT51 4XN,RESIDENTIAL,278251,433777
DUNBOE COURT,ARTICLAVE,BT51 4XP,RESIDENTIAL,278013,433933
BALLYWOOLEN ROAD,CASTLEROCK,BT51 4XQ,RESIDENTIAL,279653,434904
